adf-qa adf-cargapreviaprecios-qa-s2i-12-qrrxx 
adf-qa adf-cargapreviaprecios-qa-s2i-9-build 
adf-qa adf-descargalayouts-qa-s2i-12-build 
adf-qa adf-descargalayouts-qa-s2i-13-build 
adf-qa adf-descargalayouts-qa-s2i-14-build 
adf-qa adf-descargalayouts-qa-s2i-21-bl6tf 
aut-qa aut-renestrategia-qa-s2i-15-build http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=apr-otplocalservice-qa-s2i-2-jcrbn.json
aut-qa aut-renestrategia-qa-s2i-7-svfgh http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=apr-otplocalservice-qa-s2i-2-jcrbn.json
aut-sica-qa jboss-amq-62-3-f8plp http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=apr-otplocalservice-qa-s2i-2-jcrbn.json
aut-sica-qa redis-1-xvwnw http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=apr-otplocalservice-qa-s2i-2-jcrbn.json
aut-sica-qa sica-config-cat-3-nhwhk http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=apr-otplocalservice-qa-s2i-2-jcrbn.json
aut-sica-qa sica-config-catalogos-4-n45x5 http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=apr-otplocalservice-qa-s2i-2-jcrbn.json
aut-sica-qa sica-config-combinacione-2-tlkgh http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=apr-otplocalservice-qa-s2i-2-jcrbn.json
aut-sica-qa sica-config-crm-2-rt4lr http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=apr-otplocalservice-qa-s2i-2-jcrbn.json
aut-sica-qa sica-config-d-polizas-2-b5nt5 http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=apr-otplocalservice-qa-s2i-2-jcrbn.json
aut-sica-qa sica-config-descuentos-2-9cswf http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=apr-otplocalservice-qa-s2i-2-jcrbn.json
aut-sica-qa sica-config-discovery-2-kvhnp http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=apr-otplocalservice-qa-s2i-2-jcrbn.json
aut-sica-qa sica-config-dom-armadora-2-8pxsj http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=apr-otplocalservice-qa-s2i-2-jcrbn.json
aut-sica-qa sica-config-dom-canales-2-gsgls http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=apr-otplocalservice-qa-s2i-2-jcrbn.json
aut-sica-qa sica-config-dom-cobranza-3-build http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=apr-otplocalservice-qa-s2i-2-jcrbn.json
aut-sica-qa sica-config-dom-cobranza-4-zq4zf http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=apr-otplocalservice-qa-s2i-2-jcrbn.json
aut-sica-qa sica-config-dom-intermed-2-gjs65 http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=apr-otplocalservice-qa-s2i-2-jcrbn.json
aut-sica-qa sica-config-dom-normativ-2-gh9vz http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=apr-otplocalservice-qa-s2i-2-jcrbn.json
aut-sica-qa sica-config-dom-paquetes-2-smqrz http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=apr-otplocalservice-qa-s2i-2-jcrbn.json
aut-sica-qa sica-config-dom-polizas-2-fjw5f http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=apr-otplocalservice-qa-s2i-2-jcrbn.json
aut-sica-qa sica-config-dom-renovaci-2-jhcvh http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=apr-otplocalservice-qa-s2i-2-jcrbn.json
aut-sica-qa sica-config-edge-3-lpnw9 http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=apr-otplocalservice-qa-s2i-2-jcrbn.json
aut-sica-qa sica-config-info-2-ccddr http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=apr-otplocalservice-qa-s2i-2-jcrbn.json
aut-sica-qa sica-config-negocios-3-build http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=apr-otplocalservice-qa-s2i-2-jcrbn.json
